questions,sparql,cypher,question type
What is the start date of medication with the code {medication_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX ct:<https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#umls:RxNorm> SELECT ?start WHERE {{ ?medication a syn:Medication; syn:code '{medication_code}'^^ct:; syn:startDateTime ?start.}},MATCH (m:Medication {{code: '{medication_code}'}}) RETURN m.start;,WH
What is the description of the medication with code {medication_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX ct:<https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#umls:RxNorm> SELECT DISTINCT ?description WHERE {{ ?medication a syn:Medication; syn:code '{medication_code}'^^ct:; syn:description ?description.}},MATCH (m:Medication {{code: '{medication_code}'}}) RETURN DISTINCT m.description;,WH
For which patient did the medication with the code {medication_code} is prescribed for?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX ct:<https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#umls:RxNorm> SELECT DISTINCT ?first ?last WHERE {{ ?medication a syn:Medication; syn:code '{medication_code}'^^ct:; syn:patientId ?patientid. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last .}},"MATCH (p:Patient)-[:HAS_HISTORY_OF]->(m:Medication {{code: '{medication_code}'}}) RETURN DISTINCT p.firstName, p.lastName;",WH
What is the base cost of the medication with the code {medication_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX ct:<https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#umls:RxNorm> SELECT DISTINCT ?baseCost WHERE {{ ?medication a syn:Medication; syn:code '{medication_code}'^^ct:; syn:baseCost ?baseCost.}},MATCH (m:Medication {{code: '{medication_code}'}}) RETURN DISTINCT m.baseCost;,WH
What is the total cost of the medication with the code {medication_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX ct:<https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#umls:RxNorm> SELECT DISTINCT ?totalCost WHERE {{ ?medication a syn:Medication; syn:code '{medication_code}'^^ct:; syn:totalCost ?totalCost.}},MATCH (m:Medication {{code: '{medication_code}'}}) RETURN DISTINCT m.totalCost;,WH
In which encounter is the medication with the code {medication_code} administered?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX ct:<https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#umls:RxNorm> SELECT DISTINCT ?description WHERE {{ ?medication a syn:Medication; syn:code '{medication_code}'^^ct:; syn:encounterId ?encounterId. ?encounter a syn:encounter; syn:id ?encounterId; syn:description ?description. }},MATCH (e:Encounter)-[:HAS_PRESCRIBED]->(m:Medication {{code: '{medication_code}'}}) RETURN DISTINCT e.description;,WH
Please provide me the encounters that are related to the medication with the code {medication_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX ct:<https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#umls:RxNorm> SELECT DISTINCT ?description WHERE {{ ?medication a syn:Medication; syn:code '{medication_code}'^^ct:; syn:encounterId ?encounterId. ?encounter a syn:encounter; syn:id ?encounterId; syn:description ?description. }},MATCH (e:Encounter)-[:HAS_PRESCRIBED]->(m:Medication {{code: '{medication_code}'}}) RETURN DISTINCT e.description;,nonWH
Please provide me the patients prescribed the medication with the code {medication_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX ct:<https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#umls:RxNorm> SELECT DISTINCT ?first ?last WHERE {{ ?medication a syn:Medication; syn:code '{medication_code}'^^ct:; syn:patientId ?patientid. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last .}},"MATCH (p:Patient)-[:HAS_HISTORY_OF]->(m:Medication {{code: '{medication_code}'}}) RETURN DISTINCT p.firstName, p.lastName;",nonWH
Please provide me the cost of the medication with the code {medication_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX ct:<https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#umls:RxNorm> SELECT DISTINCT ?baseCost WHERE {{ ?medication a syn:Medication; syn:code '{medication_code}'^^ct:; syn:baseCost ?baseCost.}},MATCH (m:Medication {{code: '{medication_code}'}}) RETURN DISTINCT m.baseCost;,nonWH
What is the first date of use of the medication {medication_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?start WHERE {{ ?medication a syn:Medication; syn:description '{medication_name}'^^pl:; syn:startDateTime ?start.}},MATCH (m:Medication {{description: '{medication_name}'}}) RETURN m.start;,WH
Which patient was prescribed the medication {medication_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?first ?last WHERE {{ ?medication a syn:Medication; syn:description '{medication_name}'^^pl:; syn:patientId ?patientid. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last .}},"MATCH (p:Patient)-[:HAS_HISTORY_OF]->(m:Medication {{description: '{medication_name}'}}) RETURN DISTINCT p.firstName, p.lastName;",WH
What is the base cost of medication {medication_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?baseCost WHERE {{ ?medication a syn:Medication; syn:description '{medication_name}'^^pl:; syn:baseCost ?baseCost.}},MATCH (m:Medication {{description: '{medication_name}'}}) RETURN DISTINCT m.baseCost;,WH
What is the total cost of the medication {medication_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?totalCost WHERE {{ ?medication a syn:Medication; syn:description '{medication_name}'^^pl:; syn:totalCost ?totalCost.}},MATCH (m:Medication {{description: '{medication_name}'}}) RETURN DISTINCT m.totalCost;,WH
In which encounter was the medication {medication_name} administered?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?description WHERE {{ ?medication a syn:Medication; syn:description '{medication_name}'^^pl:; syn:encounterId ?encounterId. ?encounter a syn:Encounter; syn:id ?encounterId; syn:description ?description. }},MATCH (e:Encounter)-[:HAS_PRESCRIBED]->(m:Medication {{description: '{medication_name}'}}) RETURN DISTINCT e.description;,WH
Please provide me the encounters that are related to the medication {medication_name}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?description WHERE {{ ?medication a syn:Medication; syn:description '{medication_name}'^^pl:; syn:encounterId ?encounterId. ?encounter a syn:Encounter; syn:id ?encounterId; syn:description ?description. }},MATCH (e:Encounter)-[:HAS_PRESCRIBED]->(m:Medication {{description: '{medication_name}'}}) RETURN DISTINCT e.description;,nonWH
Please provide me the patients who are taking the medication {medication_name}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?first ?last WHERE {{ ?medication a syn:Medication; syn:description '{medication_name}'^^pl:; syn:patientId ?patientid. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last .}},"MATCH (p:Patient)-[:HAS_HISTORY_OF]->(m:Medication {{description: '{medication_name}'}}) RETURN DISTINCT p.firstName, p.lastName;",nonWH
Please provide me the cost of the medication {medication_name}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?baseCost WHERE {{ ?medication a syn:Medication; syn:description '{medication_name}'^^pl:; syn:baseCost ?baseCost.}},MATCH (m:Medication {{description: '{medication_name}'}}) RETURN DISTINCT m.baseCost;,nonWH
Which payer paid for the medication {medication_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?description WHERE {{ ?medication a syn:Medication; syn:description '{medication_name}'^^pl:; syn:payerId ?payerId. ?payer a syn:Payer; syn:id ?payerId; syn:name ?name.}},MATCH (py:Payer)-[:HAS_COVERED]->(m:Medication {{description: '{medication_name}'}}) RETURN DISTINCT py.name;,WH
Please provide me the payer that paid for the medication {medication_name}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?description WHERE {{ ?medication a syn:Medication; syn:description '{medication_name}'^^pl:; syn:payerId ?payerId. ?payer a syn:Payer; syn:id ?payerId; syn:name ?name.}},MATCH (py:Payer)-[:HAS_COVERED]->(m:Medication {{description: '{medication_name}'}}) RETURN DISTINCT py.name;,nonWH
